name,role,line,jersey_number,S,D,HD,LT,T,P,Assist,Mete,Mete g att,Mete g dif,Mga att (min),sec_played_o,Mga dif (min),sec_played_d,Mete g tot,Mga tot (min),sec_played_tot,game_id,player_id
Gas,Y,O,9,,,,,,,,,7,,,,,,7,,,0,5
Gas,Y,O,9,,,,,2,,4,,13,2,,,,,15,,,1,5
Gas,Y,O,9,,,,,,,3,1,13,1,,,,,14,,,2,5
Gas,Y,O,9,,1,,1,,,,1,8,,,,,,8,,,3,5
Gas,Y,O,9,1,,,,1,,,,9,,,,,,9,,,4,5
Gas,Y,O,9,,,,,1,,,,12,1,,,,,13,,,5,5
Gatti,Y,D,83,,,,,,,,1,,5,,,,,5,,,0,21
Gatti,Y,D,83,,,,,,,,1,,5,,,,,5,,,1,21
Gatti,Y,D,83,,,,,,,,1,,3,,,,,3,,,2,21
Gatti,Y,D,83,,,,,,,,,,3,,,,,3,,,3,21
Gatti,Y,D,83,,1,,,,1,,,,7,,,,,7,,,4,21
Gatti,Y,D,83,,,,,1,,,,,5,,,,,5,,,5,21
Gio,C,O,34,,1,,,,,1,1,6,,,,,,6,,,0,8
Gio,C,O,34,,,,,,,,1,6,,,,,,6,,,1,8
Gio,C,O,34,1,,,,1,,,1,11,,,,,,11,,,2,8
Gio,C,O,34,,,,,,,,1,3,,,,,,3,,,3,8
Gio,C,O,34,,,,,,,1,1,5,,,,,,5,,,4,8
Gio,C,O,34,,1,,,1,,,,3,,,,,,3,,,5,8
Jan,Y,D,11,,1,,,,,,,,7,,,,,7,,,0,17
Jan,Y,D,11,,2,,,2,,1,1,,10,,,,,10,,,1,17
Jan,Y,D,11,,2,,,,,3,,,10,,,,,10,,,2,17
Jan,Y,D,11,,,,,,,1,,,6,,,,,6,,,3,17
Jan,Y,D,11,1,4,,,,,1,,,7,,,,,7,,,4,17
Jan,Y,D,11,,,,,,1,1,,,8,,,,,8,,,5,17
Kais,Y,D,31,,1,,,,,,,,7,,,,,7,,,0,20
Kais,Y,D,31,,,,,,,,,,5,,,,,5,,,1,20
Kais,Y,D,31,1,,,,1,,,,,10,,,,,10,,,2,20
Kais,Y,D,31,,,,,,,,,,5,,,,,5,,,3,20
Kais,Y,D,31,,,,,,,,,,5,,,,,5,,,4,20
Kais,Y,D,31,,,,,,,,,,6,,,,,6,,,5,20
Krash,H,D,51,,,,,1,,,,,7,,,,,7,,,0,15
Krash,H,D,51,,1,,,,,,,,7,,,,,7,,,1,15
Krash,H,D,51,,,,,,,,2,,9,,,,,9,,,2,15
Krash,H,D,51,,,,,2,,,1,,6,,,,,6,,,3,15
Krash,H,D,51,,,,,1,,,,,5,,,,,5,,,4,15
Krash,H,D,51,,,,,,,,,,6,,,,,6,,,5,15
Laffi,H,O,13,,,,,1,,3,,9,,,,,,9,,,0,0
Laffi,H,O,13,,,,,1,,3,,15,,,,,,15,,,1,0
Laffi,H,O,13,,,,,1,,2,1,14,,,,,,14,,,2,0
Laffi,H,O,13,,,,1,,,2,,8,,,,,,8,,,3,0
Laffi,H,O,13,,,,,2,,1,1,9,,,,,,9,,,4,0
Laffi,H,O,13,,,,,,,,,11,,,,,,11,,,5,0
Lollo,H,D,17,,,,,,,,,,9,,,,,9,,,0,11
Lollo,H,D,17,,,,,,,,,,9,,,,,9,,,1,11
Lollo,H,D,17,,,,,,,,,,4,,,,,4,,,2,11
Lollo,H,D,17,,,,,1,,,,,7,,,,,7,,,3,11
Lollo,H,D,17,,,,,3,,,2,,10,,,,,10,,,4,11
Lollo,H,D,17,,,,,1,,,,,7,,,,,7,,,5,11
Mancio,H,O,90,,,,,,,,,7,,,,,,7,,,0,3
Mancio,H,O,90,,1,,,,,,,10,,,,,,10,,,1,3
Mancio,H,O,90,,,,,1,,,,7,,,,,,7,,,2,3
Mancio,H,O,90,,,,1,,,1,,5,,,,,,5,,,3,3
Mancio,H,O,90,,,,,,,,,7,,,,,,7,,,4,3
Mancio,H,O,90,,,,,,1,,1,10,,,,,,10,,,5,3
Martin,C,D,54,,,,,,,,,,3,,,,,3,,,0,24
Martin,C,D,54,,,,,,,,,,4,,,,,4,,,1,24
Martin,C,D,54,,,,,,,,,,1,,,,,1,,,2,24
Martin,C,D,54,,,,,,,,,,4,,,,,4,,,3,24
Martin,C,D,54,,,,,,,1,,,5,,,,,5,,,4,24
Martin,C,D,54,,1,,,,,,,,3,,,,,3,,,5,24
Mastro,Y,D,7,,,,,1,,,1,,9,,,,,9,,,0,18
Mastro,Y,D,7,,1,,,1,,,1,4,8,,,,,12,,,1,18
Mastro,Y,D,7,,,,,,,1,,3,11,,,,,14,,,2,18
Mastro,Y,D,7,,,,,,,,1,1,4,,,,,5,,,3,18
Mastro,Y,D,7,,,,,,,1,,1,8,,,,,9,,,4,18
Mastro,Y,D,7,,,,,,,,,2,8,,,,,10,,,5,18
Nando,H,O,64,,,,,2,,1,,5,,,,,,5,,,0,1
Nando,H,O,64,,,,,,,,,5,,,,,,5,,,1,1
Nando,H,O,64,,1,,,,1,,2,6,,,,,,6,,,2,1
Nando,H,O,64,,,,,1,1,,,7,,,,,,7,,,3,1
Nando,H,O,64,,,,,,,,,4,,,,,,4,,,4,1
Nando,H,O,64,,,,,,,,1,7,,,,,,7,,,5,1
Pingu,Y,D,97,1,2,,,,,2,,,9,,,,,9,,,0,19
Pingu,Y,D,97,,,,,2,,1,,1,11,,,,,12,,,1,19
Pingu,Y,D,97,,,,,1,,,1,1,12,,,,,13,,,2,19
Pingu,Y,D,97,1,,,2,,,2,,2,5,,,,,7,,,3,19
Pingu,Y,D,97,,1,,,4,,2,,,9,,,,,9,,,4,19
Pingu,Y,D,97,1,,,1,,,,,,11,,,,,11,,,5,19
Rosi,C,O,61,,,,,1,2,,3,5,,,,,,5,,,0,10
Rosi,C,O,61,,,,,,,,2,4,,,,,,4,,,1,10
Rosi,C,O,61,,,,,,,,1,5,,,,,,5,,,2,10
Rosi,C,O,61,,,,,,1,1,,5,,,,,,5,,,3,10
Rosi,C,O,61,,,,,,,,1,4,,,,,,4,,,4,10
Rosi,C,O,61,,1,,,1,,,,5,,,,,,5,,,5,10
Seba,Y,O,8,,,,,1,,1,2,10,1,,,,,11,,,0,7
Seba,Y,O,8,,,,,,,2,3,14,1,,,,,15,,,1,7
Seba,Y,O,8,,,,,,1,,,2,,,,,,2,,,2,7
Seba,Y,O,8,,1,,1,,,,1,7,1,,,,,8,,,3,7
Seba,Y,O,8,,1,,,1,,1,1,9,,,,,,9,,,4,7
Seba,Y,O,8,,1,,,1,,,,8,1,,,,,9,,,5,7
Tal,Y,D,42,,1,,,1,,,1,,7,,,,,7,,,0,16
Tal,Y,D,42,,,,,,,1,,,8,,,,,8,,,1,16
Tal,Y,D,42,,,,,,,,,,7,,,,,7,,,2,16
Tal,Y,D,42,,,,,,1,,1,,8,,,,,8,,,3,16
Tal,Y,D,42,,2,,,2,,,1,,6,,,,,6,,,4,16
Tal,Y,D,42,,,,,,,,1,,7,,,,,7,,,5,16
Toni,H,D,10,,,,,,,,,,4,,,,,4,,,0,12
Toni,H,D,10,,,,,,,,,,2,,,,,2,,,1,12
Toni,H,D,10,,,,,,,,,,3,,,,,3,,,2,12
Toni,H,D,10,,,,,,,1,1,,4,,,,,4,,,3,12
Toni,H,D,10,1,,,,,,,,,5,,,,,5,,,4,12
Toni,H,D,10,,,,,,,,,,8,,,,,8,,,5,12
Ventu,C,D,50,,,,,,,2,,,10,,,,,10,,,0,22
Ventu,C,D,50,,,,,,,,1,1,13,,,,,14,,,1,22
Ventu,C,D,50,,,,,,,,,1,13,,,,,14,,,2,22
Ventu,C,D,50,,1,,,,,1,,1,5,,,,,6,,,3,22
Ventu,C,D,50,,,,,,,,,1,9,,,,,10,,,4,22
Ventu,C,D,50,,,,,,,,,,10,,,,,10,,,5,22
Zeno,H,D,0,,1,,,,,1,,,6,,,,,6,,,0,13
Zeno,H,D,0,,,,,,,,,,3,,,,,3,,,1,13
Zeno,H,D,0,,,,,,,,,,3,,,,,3,,,2,13
Zeno,H,D,0,,,,,,,,,,4,,,,,4,,,3,13
Zeno,H,D,0,,,,,,,,,,6,,,,,6,,,4,13
Zeno,H,D,0,,,,,,,,,,5,,,,,5,,,5,13
